"id","creationdate","score","title","tags"
29609740,2015-04-13 15:54:27,20,UnsatisfiedDependencyException: Error creating bean with name 'entityManagerFactory',<java><spring><hibernate><maven><spring-boot>
46137513,2017-09-10 05:15:02,20,What is springboot versioning convention?,<java><spring><maven><spring-boot>
34173363,2015-12-09 07:47:37,19,ErrorListener missing when using maven-jaxb-plugin with eclipse and m2e,<java><eclipse><maven><spring-boot><jaxb>
29257409,2015-03-25 13:42:04,19,Maven configuration with Spring Boot & multi modules - run application in Intellij,<java><maven><intellij-idea><module><spring-boot>
40606267,2016-11-15 09:27:44,19,How does importing maven dependencies impact plugin management?,<maven><spring-boot>
38930469,2016-08-13 07:44:05,19,"Unknown lifecycle phase ""mvn"". You must specify a valid lifecycle phase or a goal in the format <plugin-prefix>:<goal> or <plugin-group-id>",<maven><spring-boot>
29658240,2015-04-15 18:40:43,18,Spring-Boot Jersey: allow Jersey to serve static content,<java><maven><spring-boot><jersey-2.0>
33197230,2015-10-18 11:07:56,17,resources in a Spring Boot application are missing from jar file when using Spring Boot Maven Plugin,<java><spring><maven><spring-boot><spring-boot-maven-plugin>
49363222,2018-03-19 12:40:03,17,Maven Failsafe plugin - SurefireBooterForkException: There was an error in the forked process (TypeNotPresentExceptionProxy),<maven><spring-boot><exception><maven-failsafe-plugin>
48483120,2018-01-28 04:21:27,17,"""The Bean Validation API is on the classpath but no implementation could be found"" preventing startup",<java><maven><spring-boot><spring-tool-suite>
47503046,2017-11-27 02:11:11,16,Error creating bean with name 'entityManagerFactory' when add spring boot jpa dependency,<spring><hibernate><maven><jpa><spring-boot>
39131955,2016-08-24 19:52:14,16,What's the difference between spring-boot:run and spring-boot:start,<java><spring><maven><spring-boot>
24355188,2014-06-22 19:59:22,16,Spring-boot with maven configuration,<java><spring><maven><spring-boot>
41329851,2016-12-26 10:30:33,16,"""cannot find symbol"" error in maven",<maven><spring-boot><maven-plugin><spring-boot-maven-plugin>
40086257,2016-10-17 12:20:47,16,The type org.springframework.context.ConfigurableApplicationContext cannot be resolved. It is indirectly referenced from required .class files,<java><spring><maven><spring-boot><pom.xml>
42082131,2017-02-07 05:04:47,15,Maven verify ClassNotFoundException for class of Spring Boot application,<java><spring-boot><maven>
46599698,2017-10-06 06:38:35,15,Spring Boot Application failed to start with classpath: [],<java><maven><spring-boot><intellij-idea><jhipster>
64953515,2020-11-22 11:17:55,15,Project 'org.springframework.boot:spring-boot-starter-parent:2.4.0' not found,<java><spring><spring-boot><maven><pom.xml>
64639836,2020-11-02 04:36:26,15,Plugin 'org.springframework.boot:spring-boot-maven-plugin:' not found,<java><spring><spring-boot><maven>
53741514,2018-12-12 10:58:27,15,Exception when creating datasource with PostgreSQL driver in Spring Boot,<java><maven><spring-boot><datasource>
49990340,2018-04-23 21:36:28,15,Why does my flapdoodle Embedded MongoDB test fail to run? (creating 'embeddedMongoServer' could not start process EOF),<mongodb><maven><spring-boot><spring-test><embedded-database>
60010007,2020-01-31 19:17:55,14,"Basic spring boot app not working, showing: Failed to refresh live data from process xxxx",<java><spring><spring-boot><maven>
38212471,2016-07-05 20:49:50,14,Springboot @retryable not retrying,<java><spring><maven><spring-boot><spring-retry>
27994153,2015-01-16 23:00:51,14,Why were Spring Boot starter dependencies designed to be used contrary to the stated intent of Maven's transitive dependency mechanisms?,<spring><maven><spring-boot><dependency-management><maven-dependency-plugin>
42521835,2017-03-01 01:52:04,14,"Cannot instantiate factory class: org.springframework.boot.autoconfigure.AutoConfigurationImportFilter"" when run Spring Boot application on Tomcat",<spring><maven><tomcat><spring-boot>
42396706,2017-02-22 16:12:23,14,CrudRepository cannot be resolved to a type,<spring><maven><spring-boot><repository>
47908312,2017-12-20 14:33:01,14,Create war file from Spring:boot project in Eclipse,<java><eclipse><maven><spring-boot><war>
43147157,2017-03-31 18:13:10,14,Spring Boot DevTools not working in Eclipse,<java><eclipse><maven><spring-boot><spring-boot-devtools>
43937031,2017-05-12 11:45:27,14,Spring Boot ignoring logback-spring.xml,<java><maven><spring-boot><logback>
