occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;types
df1b2f0a69581de41e6185aba8dc405502a71e15;ac06bb864e85452cf4f19abd7796a0b606d77443;41ab3edb281781aea0efd59fe4b16e7d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json::::devDependencies::::prettier::::prettier:^1.12.1 <-> node::::tools/node_modules/eslint/node_modules/unified/package.json::::devDependencies::::prettier::::prettier:^1.12.1;tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json;node::::tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json::::devDependencies::::prettier(location: 24);git show df1b2f0a69581de41e6185aba8dc405502a71e15 -- tools/node_modules/eslint/node_modules/trim-trailing-lines/package.json;yes;library version changed;version number
369c0cc04a1508f77c2b874fce61e1542f44a0f0;5086f4ad4a292823c8846a3de95c7f50f887e53b;e685fe76181fc59d43efd5abb26e4864;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;node::::tools/eslint/node_modules/lodash/package.json::::_where::::/Users/mzasso/git/forks/node/node_modules/eslint/node_modules/inquirer <-> node::::tools/eslint/node_modules/readline2/package.json::::_where::::/Users/mzasso/git/forks/node/node_modules/eslint/node_modules/inquirer;tools/eslint/node_modules/readline2/package.json;node::::tools/eslint/node_modules/readline2/package.json::::_where(location: 35);git show 369c0cc04a1508f77c2b874fce61e1542f44a0f0 -- tools/eslint/node_modules/readline2/package.json;yes;path changed;unknown
1a2a368307dd3a56440fbb12018a97c9db5da565;719a04a93d388f53dc2cd6e77583af64fb48e5e6;d52dd65f40298be1608adc85d94963cd;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/@babel/eslint-parser/node_modules/eslint-scope/package.json::::devDependencies::::eslint-release::::eslint-release:^1.0.0 <-> node::::tools/node_modules/eslint/node_modules/eslint-visitor-keys/package.json::::devDependencies::::eslint-release::::eslint-release:^1.0.0;tools/node_modules/eslint/node_modules/eslint-visitor-keys/package.json;node::::tools/node_modules/eslint/node_modules/eslint-visitor-keys/package.json::::devDependencies::::eslint-release(location: 30);git show 1a2a368307dd3a56440fbb12018a97c9db5da565 -- tools/node_modules/eslint/node_modules/eslint-visitor-keys/package.json;yes;library version changed;version number
8acce040c98455d0297522af90144c654243840f;1e3f6d9d2ab9dd47ec80d885e18ebfbc31f877f2;28ccbc78285e9c16f6cc71a83ce1f407;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/arrify/package.json::::version::::version:1.0.1 <-> node::::tools/node_modules/eslint/node_modules/is-decimal/package.json::::version::::version:1.0.1;tools/node_modules/eslint/node_modules/is-decimal/package.json;node::::tools/node_modules/eslint/node_modules/is-decimal/package.json::::version(location: 101);git show 8acce040c98455d0297522af90144c654243840f -- tools/node_modules/eslint/node_modules/is-decimal/package.json;yes;file version changed;version number
95afafb4030d62ff03df5462afa3ed861a42b97b;f936d14ae9253f0c7962c9e8f52e3218eee03ff5;9208274f7c7af97cc3d0d215789e5b41;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/@babel/core/package.json::::version::::version:7.16.12 <-> node::::tools/node_modules/eslint/node_modules/@babel/parser/package.json::::version::::version:7.16.12;tools/node_modules/eslint/node_modules/@babel/parser/package.json;node::::tools/node_modules/eslint/node_modules/@babel/parser/package.json::::version(location: 3);git show 95afafb4030d62ff03df5462afa3ed861a42b97b -- tools/node_modules/eslint/node_modules/@babel/parser/package.json;yes;file version changed;version number
333bf6ba1b03bc9a1afb5c33a3e16e60de9a8a19;b17de45fc214ef783bbdbd9b54634f30d83bd9aa;55c75e874098007ff4e963d665156f88;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/@babel/core/node_modules/supports-color/package.json::::devDependencies::::xo::::xo:^0.20.0 <-> node::::tools/node_modules/eslint/node_modules/supports-color/package.json::::devDependencies::::xo::::xo:^0.20.0;tools/node_modules/eslint/node_modules/supports-color/package.json;node::::tools/node_modules/eslint/node_modules/supports-color/package.json::::devDependencies::::xo(location: 50);git show 333bf6ba1b03bc9a1afb5c33a3e16e60de9a8a19 -- tools/node_modules/eslint/node_modules/supports-color/package.json;yes;library version changed;version number
2268c229b85b4c443e3f54efba4df044e078bd6d;800fe7709d24529a5f5803b6d68aff2753612a8a;492d2bcadbd37c926651f7103c341c5c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/@jridgewell/resolve-uri/package.json::::devDependencies::::@rollup/plugin-typescript::::@rollup/plugin-typescript:8.3.0 <-> node::::tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json::::devDependencies::::@rollup/plugin-typescript::::@rollup/plugin-typescript:8.3.0;tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json;node::::tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json::::devDependencies::::@rollup/plugin-typescript(location: 52);git show 2268c229b85b4c443e3f54efba4df044e078bd6d -- tools/node_modules/eslint/node_modules/@jridgewell/trace-mapping/package.json;yes;library version changed;version number
42e5afa4d85ccfd0f29b0ad4c669fb52fda9d0c5;e171475c540a5944d2cdec8a43ccf1b8f4c5684a;37689dca5be10a03407a56760b7547ed;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;node::::tools/node_modules/eslint/node_modules/callsites/package.json::::scripts::::test::::mocha <-> node::::tools/node_modules/eslint/node_modules/write/package.json::::scripts::::test::::mocha;tools/node_modules/eslint/node_modules/callsites/package.json;node::::tools/node_modules/eslint/node_modules/callsites/package.json::::scripts::::test(location: 45);git show 42e5afa4d85ccfd0f29b0ad4c669fb52fda9d0c5 -- tools/node_modules/eslint/node_modules/callsites/package.json;yes;command changed for text script;command
8acce040c98455d0297522af90144c654243840f;1e3f6d9d2ab9dd47ec80d885e18ebfbc31f877f2;d4fd775250d031ee6e7990afd08998c9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/flat-cache/package.json::::version::::version:1.3.0 <-> node::::tools/node_modules/eslint/node_modules/unist-util-visit/package.json::::version::::version:1.3.0;tools/node_modules/eslint/node_modules/unist-util-visit/package.json;node::::tools/node_modules/eslint/node_modules/unist-util-visit/package.json::::version(location: 116);git show 8acce040c98455d0297522af90144c654243840f -- tools/node_modules/eslint/node_modules/unist-util-visit/package.json;yes;file version changed;version number
2a814ee45acf49516fe21491d76d214a29d4759a;db8af6f76188930f9ec50e163e4cfdd167b944db;16448c85cc75a41a6846912ade53a282;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/@babel/core/package.json::::dependencies::::@babel/traverse::::@babel/traverse:^7.18.6 <-> node::::tools/node_modules/eslint/node_modules/@babel/helper-module-imports/package.json::::devDependencies::::@babel/traverse::::@babel/traverse:^7.18.6;tools/node_modules/eslint/node_modules/@babel/core/package.json;node::::tools/node_modules/eslint/node_modules/@babel/core/package.json::::dependencies::::@babel/traverse(location: 57);git show 2a814ee45acf49516fe21491d76d214a29d4759a -- tools/node_modules/eslint/node_modules/@babel/core/package.json;yes;library version changed;version number
