occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
8c1a38b1c4b839121b2bb2e2827801887ed42569;82e8317730e48518e693842c1530de17953e0fe6;2d668a9c289d84d745557169dd9dd974;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;opencv::::platforms/maven/opencv-it/pom.xml::::project::::artifactId::::opencv-it <-> opencv::::platforms/maven/pom.xml::::project::::modules::::module::::opencv-it;platforms/maven/pom.xml;opencv::::platforms/maven/pom.xml::::project::::modules::::module(location: 44);git show 8c1a38b1c4b839121b2bb2e2827801887ed42569 -- platforms/maven/pom.xml;yes;module name in pom.xml changed;name
36fcc8da3fbb67bf4b3723db0ce09c7bd6a671cd;bf2b255e083c627ff17ee50cec80b4f38c51e3b1;27d2a44f44af17522fa15e69cbb1d05e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;opencv::::modules/js/perf/package.json::::version::::version:1.0.0 <-> opencv::::modules/js/test/package.json::::version::::version:1.0.0;modules/js/test/package.json;opencv::::modules/js/test/package.json::::version(location: 4);git show 36fcc8da3fbb67bf4b3723db0ce09c7bd6a671cd -- modules/js/test/package.json;yes;file version changed;version number
