occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating ;note;type
4fc910ab9e31faf206217362bf7cabbf2dcdd892;7d2f575cc9da0ae46be03b574a871adffa815dab;a8b0c0429ac83b4fc7d11ab3be6c4370;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;nest::::packages/websockets/tsconfig.json::::compilerOptions::::target::::es6 <-> nest::::tsconfig.json::::compilerOptions::::target::::es6;packages/websockets/tsconfig.json;nest::::packages/websockets/tsconfig.json::::compilerOptions::::target(location: 11);git show 4fc910ab9e31faf206217362bf7cabbf2dcdd892 -- packages/websockets/tsconfig.json;yes;compileroption target changed;unknown
8935626dd11515fcb62eb11a83d519515caf9fe0;28e1fddf26b504fe01653270d9df426010ee62c3;5e03f247d27142060e9652a404dc2b90;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:5.6.1 <-> nest::::packages/websockets/package.json::::version::::version:5.6.1;packages/websockets/package.json;nest::::packages/websockets/package.json::::version(location: 3);git show 8935626dd11515fcb62eb11a83d519515caf9fe0 -- packages/websockets/package.json;yes;file version changed;version number
32902ec189dea883e32d20b1659620d8689cba5c;797a87502f90bc1d6b6e4b7be72739210b9375d9;4b545a0be1328aca4d0ae917c4d6a726;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::devDependencies::::@nestjs/common::::@nestjs/common:^1.0.0 <-> nest::::src/testing/package.json::::peerDependencies::::@nestjs/common::::@nestjs/common:^1.0.0;src/testing/package.json;nest::::src/testing/package.json::::peerDependencies::::@nestjs/common(location: 11);git show 32902ec189dea883e32d20b1659620d8689cba5c -- src/testing/package.json;yes;library version changed;version number
6274ac92fefce320f928fe47ee0d8afef9666e24;d2bd9cf2fbfe20b88122ff1c0ca296fc3d1aa8fe;0652174cfb45fcddd132cef95c321353;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/mongoose/package.json::::dependencies::::@nestjs/common::::@nestjs/common:6.1.1 <-> nest::::package.json::::dependencies::::@nestjs/common::::@nestjs/common:6.1.1;integration/mongoose/package.json;nest::::integration/mongoose/package.json::::dependencies::::@nestjs/common(location: 12);git show 6274ac92fefce320f928fe47ee0d8afef9666e24 -- integration/mongoose/package.json;yes;library version changed;version number
368ec52437af615312ec26e468bddb07485055cc;cdc64102f7fe1cc89a5d21c794a8fdc1c77867b1;8066fb2274252ffc3ef07a54c9e07b38;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/graphql/package.json::::dependencies::::@nestjs/common::::@nestjs/common:5.6.2 <-> nest::::package.json::::dependencies::::@nestjs/common::::@nestjs/common:5.6.2;package.json;nest::::package.json::::dependencies::::@nestjs/common(location: 34);git show 368ec52437af615312ec26e468bddb07485055cc -- package.json;yes;library version changed;version number
9282056193495cc905d15f56ad476304cbf3c3a9;0141eeb92911b8790391dea2136c562146a3096a;c5f17966bb1bf9c3278328e87cdaf08b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.1.1 <-> nest::::packages/testing/package.json::::version::::version:6.1.1;packages/testing/package.json;nest::::packages/testing/package.json::::version(location: 3);git show 9282056193495cc905d15f56ad476304cbf3c3a9 -- packages/testing/package.json;yes;file version changed;version number
e330c557aa9f11203036c80e86267b8c19cbe2ea;77187afeddae37315510209485f2465bb1528322;733410b1aa5580d912e18ea5198520bf;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/graphql/package.json::::dependencies::::reflect-metadata::::reflect-metadata:^0.1.12 <-> nest::::packages/core/package.json::::peerDependencies::::reflect-metadata::::reflect-metadata:^0.1.12;integration/graphql/package.json;nest::::integration/graphql/package.json::::dependencies::::reflect-metadata(location: 18);git show e330c557aa9f11203036c80e86267b8c19cbe2ea -- integration/graphql/package.json;yes;library version changed;version number
68fdca06f95de06f29f1fb59f7c618fdba74abf8;f6d842b961dcfce8dd93054ea733286d796f9ce6;62cfb77a1ffa82fd31e2cd8d2f1cdd35;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.9.0 <-> nest::::packages/core/package.json::::version::::version:6.9.0;packages/core/package.json;nest::::packages/core/package.json::::version(location: 3);git show 68fdca06f95de06f29f1fb59f7c618fdba74abf8 -- packages/core/package.json;yes;file version changed;version number
68fdca06f95de06f29f1fb59f7c618fdba74abf8;f6d842b961dcfce8dd93054ea733286d796f9ce6;3127b51e7cde3be81f9494ca1dea65b3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.9.0 <-> nest::::packages/testing/package.json::::version::::version:6.9.0;packages/testing/package.json;nest::::packages/testing/package.json::::version(location: 3);git show 68fdca06f95de06f29f1fb59f7c618fdba74abf8 -- packages/testing/package.json;yes;file version changed;version number
01737918709cd2fd88913a9c6a63662136cfd965;fda5958b5c5fca74a591b415f1ab319eb2dd25cb;4ff9af0d2244d958c7f55e526613d1b9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.10.6 <-> nest::::packages/core/package.json::::version::::version:6.10.6;packages/core/package.json;nest::::packages/core/package.json::::version(location: 3);git show 01737918709cd2fd88913a9c6a63662136cfd965 -- packages/core/package.json;yes;file version changed;version number
