occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes
ce8e993cf671320fac8e38d3c6f2d664321ab2f9;2013791265421732b741a612b941f8f7677574ab;f7304b551c045d8d697e9c68aba267d8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::build/package.json::::dependencies::::underscore-plus::::underscore-plus:1.x <-> atom::::package.json::::dependencies::::underscore-plus::::underscore-plus:1.x;package.json;atom::::package.json::::dependencies::::underscore-plus(location: 56);git show ce8e993cf671320fac8e38d3c6f2d664321ab2f9 -- package.json;yes;library version changed
f063a447460565a2ed851a807123bee4245d9442;898aa23b04a6b3301d720fd82c940a3c616ca542;447eca5a21bff7d0e4bf57fa03849129;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::package.json::::dependencies::::sinon::::sinon:9.0.3 <-> atom::::packages/dalek/package.json::::devDependencies::::sinon::::sinon:9.0.3;package.json;atom::::package.json::::dependencies::::sinon(location: 150);git show f063a447460565a2ed851a807123bee4245d9442 -- package.json;yes;library version changed
288c7efcec5a42e159361d97c9ed4bd355d9c267;1558ac42eb17906f62469820585461e742953322;38ddbfbbe67ab2bccd815dddc4e9dba2;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::package.json::::dependencies::::fs-admin::::fs-admin:^0.1.5 <-> atom::::script/package.json::::dependencies::::fs-admin::::fs-admin:^0.1.5;package.json;atom::::package.json::::dependencies::::fs-admin(location: 36);git show 288c7efcec5a42e159361d97c9ed4bd355d9c267 -- package.json;yes;library version changed
3cf288f914af88d8dc0359a1042dc85a920296c8;b93004aa8c9d0a955e29e14d0fadb116ab72e8a6;7c2f8a361b2259807db37597763a1a37;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::build/package.json::::dependencies::::fs-plus::::fs-plus:2.x <-> atom::::package.json::::dependencies::::fs-plus::::fs-plus:2.x;package.json;atom::::package.json::::dependencies::::fs-plus(location: 24);git show 3cf288f914af88d8dc0359a1042dc85a920296c8 -- package.json;yes;library version changed
f3d8a66482ca9ba21faa1dafd98812534c1bfcca;468d9a33e9a1e94dfb864f7c6233e20aa6b199a5;e43ec5b2c4174dbf97488acdbb6fc629;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::package.json::::version::::version:1.0.0 <-> atom::::spec/fixtures/packages/package-with-invalid-grammar/package.json::::version::::version:1.0.0;package.json;atom::::package.json::::version(location: 4);git show f3d8a66482ca9ba21faa1dafd98812534c1bfcca -- package.json;yes;file version changed 
b7f83209eab4c1f0c439e113e5785ba8de628e3f;8f44952d95d56b3f9b84e151e039f992ed5f6b83;ff90928cccd303e0eaf4604cd64767e6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::build/package.json::::dependencies::::runas::::runas:0.5.x <-> atom::::package.json::::dependencies::::runas::::runas:0.5.x;package.json;atom::::package.json::::dependencies::::runas(location: 45);git show b7f83209eab4c1f0c439e113e5785ba8de628e3f -- package.json;yes;library version changed
d74e44d7c573b3fe885b125e7a4cbaf08db68e47;ad1d23ca91e22dc220371df39422c4b8ba690959;275c2876d579fea51a84729e5ea8037c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::package.json::::dependencies::::@atom/watcher::::@atom/watcher:1.3.1 <-> atom::::script/lib/update-dependency/spec/fixtures/latest-package.json::::dependencies::::@atom/watcher::::@atom/watcher:1.3.1;package.json;atom::::package.json::::dependencies::::@atom/watcher(location: 19);git show d74e44d7c573b3fe885b125e7a4cbaf08db68e47 -- package.json;yes;library version changed
927730be09e5fe92b5c1d04fa8d32c9ed786b53a;1b2e8470e97ffc40603ab47faf6510826ba9ce8c;82f3ee612647eb28be1806f5214adc98;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;atom::::package.json::::dependencies::::fs-admin::::fs-admin:^0.12.0 <-> atom::::script/package.json::::dependencies::::fs-admin::::fs-admin:^0.12.0;package.json;atom::::package.json::::dependencies::::fs-admin(location: 63);git show 927730be09e5fe92b5c1d04fa8d32c9ed786b53a -- package.json;yes;library version changed
