occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes
6bf5c4f91237301edc9893aafcfd8be9ee50b098;f2d126085b507efad56ff5cdf38297e325000e2e;212aa47cf3d7b51487045e394c32a962;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::starters/gatsby-starter-mdx-basic/package.json::::dependencies::::gatsby::::gatsby:^2.32.12 <-> gatsby::::starters/gatsby-starter-theme/package.json::::dependencies::::gatsby::::gatsby:^2.32.12;starters/gatsby-starter-theme/package.json;gatsby::::starters/gatsby-starter-theme/package.json::::dependencies::::gatsby(location: 13);git show 6bf5c4f91237301edc9893aafcfd8be9ee50b098 -- starters/gatsby-starter-theme/package.json;yes;library version changed
84622f8d33bb611ee0fd192ad12ac0f76028aea8;2df58e6debe19eec4cc1e2b1aeb2b1236798c511;17411443f9b54797b019d76c00233f89;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-remark-responsive-iframe/package.json::::version::::version:2.3.1 <-> gatsby::::packages/gatsby-transformer-javascript-static-exports/package.json::::version::::version:2.3.1;packages/gatsby-transformer-javascript-static-exports/package.json;gatsby::::packages/gatsby-transformer-javascript-static-exports/package.json::::version(location: 4);git show 84622f8d33bb611ee0fd192ad12ac0f76028aea8 -- packages/gatsby-transformer-javascript-static-exports/package.json;yes;file version changed
214b0bea56dfa890ec8efde53e7f0154ef530801;223c23915886a8ee9492ab70c3dbeb2f1a93d5e4;bc8978edbda13cd10cdf85279c09eea3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-source-contentful/package.json::::dependencies::::gatsby-source-filesystem::::gatsby-source-filesystem:^2.1.28 <-> gatsby::::themes/gatsby-theme-notes/package.json::::dependencies::::gatsby-source-filesystem::::gatsby-source-filesystem:^2.1.28;packages/gatsby-source-contentful/package.json;gatsby::::packages/gatsby-source-contentful/package.json::::dependencies::::gatsby-source-filesystem(location: 20);git show 214b0bea56dfa890ec8efde53e7f0154ef530801 -- packages/gatsby-source-contentful/package.json;yes;library version changed
2075cbaa18414d5010428d5811e2d4b437ff1ca4;109220482f900e3786214d9978b553eafb5e2031;4bc6f79e3e56ee392b324f8d627d0100;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-create-client-paths/package.json::::devDependencies::::@babel/core::::@babel/core:^7.12.3 <-> gatsby::::packages/gatsby-plugin-image/package.json::::peerDependencies::::@babel/core::::@babel/core:^7.12.3;packages/gatsby-plugin-create-client-paths/package.json;gatsby::::packages/gatsby-plugin-create-client-paths/package.json::::devDependencies::::@babel/core(location: 14);git show 2075cbaa18414d5010428d5811e2d4b437ff1ca4 -- packages/gatsby-plugin-create-client-paths/package.json;yes;library version changed
fd0610bf7912c35576b194596bcfd3fc4ec575fe;820dc0ee1115b699d2be4d2200eda210d2099b05;6a5d1f982332ac281462cdb239e888ae;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-transformer-documentationjs/package.json::::version::::version:1.4.0 <-> gatsby::::packages/gatsby/package.json::::version::::version:1.4.0;packages/gatsby/package.json;gatsby::::packages/gatsby/package.json::::version(location: 4);git show fd0610bf7912c35576b194596bcfd3fc4ec575fe -- packages/gatsby/package.json;yes;file version changed
7305fed8c314cf643a067c0ff4b53bfa431a1759;58149d130288c470ce73f851b3855093dcf53ee1;9e87ed7553d9b94d7b2a89c2eeb92cd1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::themes/gatsby-theme-blog/package.json::::dependencies::::react-helmet::::react-helmet:^5.2.0 <-> gatsby::::www/package.json::::dependencies::::react-helmet::::react-helmet:^5.2.0;themes/gatsby-theme-blog/package.json;gatsby::::themes/gatsby-theme-blog/package.json::::dependencies::::react-helmet(location: 37);git show 7305fed8c314cf643a067c0ff4b53bfa431a1759 -- themes/gatsby-theme-blog/package.json;yes;library version changed
00ea2bf661fb6a637798b7e14d664255f986ceea;36ab7f7c97ad6acf77cce13e5d9d01d123575906;42520d12a52902d9d9fd870493c3f81d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-dev-cli/package.json::::version::::version:2.0.0-rc.0 <-> gatsby::::packages/gatsby-plugin-no-sourcemaps/package.json::::version::::version:2.0.0-rc.0;packages/gatsby-dev-cli/package.json;gatsby::::packages/gatsby-dev-cli/package.json::::version(location: 4);git show 00ea2bf661fb6a637798b7e14d664255f986ceea -- packages/gatsby-dev-cli/package.json;yes;file version changed
5fd6c131ea8a80ac4d15ae0ff080a6aefbd25d9e;0a339ecbc98d4a78730215cf9caf88036ee591fb;cfa8e1a78f7317e8ad3bf3d7d5153c87;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-coffeescript/package.json::::version::::version:2.3.12 <-> gatsby::::packages/gatsby-plugin-twitter/package.json::::version::::version:2.3.12;packages/gatsby-plugin-coffeescript/package.json;gatsby::::packages/gatsby-plugin-coffeescript/package.json::::version(location: 4);git show 5fd6c131ea8a80ac4d15ae0ff080a6aefbd25d9e -- packages/gatsby-plugin-coffeescript/package.json;yes;file version changed
550f6f3da5e004e4b04970bf4e676cf869af3206;b614706b9e2ad79f606c098738f85e14fa43ece0;df30b723188d12021ce0d22772244a77;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-sharp/package.json::::dependencies::::gatsby-core-utils::::gatsby-core-utils:^1.3.11 <-> gatsby::::www/package.json::::dependencies::::gatsby-core-utils::::gatsby-core-utils:^1.3.11;packages/gatsby-plugin-sharp/package.json;gatsby::::packages/gatsby-plugin-sharp/package.json::::dependencies::::gatsby-core-utils(location: 14);git show 550f6f3da5e004e4b04970bf4e676cf869af3206 -- packages/gatsby-plugin-sharp/package.json;yes;library version changed
be3fed1ae9aff01ce8bbb6a78942c900d5525c41;46c165eec3e557e0788dcca1f188c2cd80d3391a;963bf22c3b637aa23463fbee9dc90eff;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;gatsby::::packages/gatsby-plugin-no-sourcemaps/package.json::::version::::version:2.1.1 <-> gatsby::::packages/gatsby-transformer-screenshot/package.json::::version::::version:2.1.1;packages/gatsby-transformer-screenshot/package.json;gatsby::::packages/gatsby-transformer-screenshot/package.json::::version(location: 4);git show be3fed1ae9aff01ce8bbb6a78942c900d5525c41 -- packages/gatsby-transformer-screenshot/package.json;yes;file version changed
