id;creationdate;score;title;tags;note
56715815;2019-06-22 13:19:10.020;2;Error executing tests in Travis CI with JaCoCo;<java><maven><travis-ci><jacoco>;maven cmd in travis file
56660041;19.06.2019 04:24;2;How to create a build pipeline so that it can build multiple dependent repositories?;<maven><jenkins><continuous-integration><jenkins-pipeline><travis-ci>;nothing found
29275609;26.03.2015 10:02;2;In Travis CI, How to run script to build the project with sudo;<linux><maven><travis-ci>;java version and maven commands
56650407;18.06.2019 13:32;2;Travis CI build failing with JUnit 5;<java><maven><travis-ci><junit5>;nothing found
56089099;11.05.2019 09:44;2;Maven deploy creates two different sonatype repositories;<maven><travis-ci><sonatype><maven-deploy-plugin>;nothing found
18005506;01.08.2013 22:09;2;How can a Github Gradle project built in travis-ci access dependencies normally found in my local Maven repo?;<maven><github><gradle><travis-ci>;nothing found
32400512;2015-09-04 14:27:20.077;2;Use maven even if gradle is present in travis;<maven><gradle><travis-ci>;nothing found
52628775;03.10.2018 14:00;2;How do I Integrate Coveralls to An Open-Source Project?;<java><maven><code-coverage><travis-ci><coveralls>;nothing found
58968306;21.11.2019 06:08;1;Travis CI using the wrong version of Java;<java><spring><maven><spring-boot><travis-ci>;java version in travis file
37193966;12.05.2016 17:41;1;Java + Github + Docker;<java><maven><github><docker><travis-ci>;docker service and commands in travis, executable name
38845968;09.08.2016 08:43;1;travis-ci job with bintray dependencies;<java><maven><travis-ci>;nothing found
40796627;25.11.2016 01:49;1;Why does maven-enforcer-plugin detect maven 3.2.5 when it's run with 3.1.1 on travis-ci.org?;<java><maven><version><travis-ci><maven-enforcer-plugin>;nothing found
41285388;22.12.2016 14:27;1;Travis does not compile the project;<maven><travis-ci>;java version and maven commands
43079486;28.03.2017 20:37;1;Sonar on Travis: ERROR You must define the following mandatory properties for 'Unknown';<java><maven><sonarqube><travis-ci><sonar-runner>;docker service
43184018;2017-04-03 11:55:59.053;1;Failed to execute goal org.sonarsource.scanner.maven:sonar-maven-plugin:3.3.0.603:sonar (default-cli) on project jraft: No license for governance;<java><maven><sonarqube><travis-ci><license-key>;docker service
28120891;24.01.2015 00:21;1;Maven coveralls plugin;<maven><travis-ci><coveralls>;nothing found
27268868;2014-12-03 10:11:19.043;1;It's possible use travis ci only has a build tool?es;<maven><travis-ci>;nothing found
26839405;10.11.2014 08:15;1;Releasing Open Source Artifacts to Nexus/Maven Central via Travis CI;<maven><gradle><release><travis-ci>;nothing found
23771705;20.05.2014 23:40;1;create system metrics with maven java project and Travis CI and github hosted project;<java><maven><build><travis-ci>;java version in travis file
22314453;2014-03-11 01:02:21.090;1;Unsupported major.minor version 51.0 Error when using 1.6 in pom and openjdk6 for one JUnit;<java><maven><junit><travis-ci>;nothing found
20298954;30.11.2013 10:07;1;Maven fails to pull dependencies on travis-ci: Connection timed out;<java><maven><testing><continuous-integration><travis-ci>;nothing found
50540294;26.05.2018 07:13;1;Travis CI not linking library for Maven Surefire Plugin;<maven><travis-ci><z3><maven-surefire-plugin>;nothing found
51671521;03.08.2018 11:22;1;Travis CI doesn't deploy to Azure from GitHub the war file correctly;<java><maven><azure><travis-ci><azure-webapps>;nothing found
63719194;2020-09-03 07:54:58.010;1;How to make travis-ci download jars from a different maven repository?;<java><maven><travis-ci>;java version and maven commands
53180531;06.11.2018 21:45;1;Travis uses ant instead of maven;<java><maven><travis-ci>;java version in travis file
54274355;20.01.2019 07:14;1;Travis CI build running deploy stage on master even though tag condition is not met;<java><maven><github><travis-ci><release>;java version and maven commands
15744015;01.04.2013 13:03;1;Java/Maven compilation failure (no suitable constructor found);<java><maven><travis-ci>;nothing found
56272161;23.05.2019 09:30;1;Why travis doesn't set correct JDK?;<java><maven><travis-ci>;java version and maven commands
31689776;29.07.2015 01:25;1;Building with Maven on travis-ci: javadoc plugin won't fail;<java><maven><maven-3><pom.xml><travis-ci>;nothing found
35842780;07.03.2016 11:40;1;Cobertura Checks Fail on Travis CI;<java><maven><travis-ci><cobertura><maven-cobertura-plugin>;java version and maven commands
62672610;01.07.2020 08:21;0;OutOfMemoryError error occurs when adding vintage junit 5;<java><maven><travis-ci>;nothing found
67062747;2021-04-12 17:12:30.013;0;Travis CI - Spring Boot application on ARM64 architecure;<java><spring-boot><docker><maven><travis-ci>;java version and maven commands, executable name, internal docker dependency
41929971;30.01.2017 06:16;0;"Using ""secure"" variables in Maven test command in Travis *.yml file";<java><maven><encryption><travis-ci>;java version and maven commands
47143793;06.11.2017 18:53;0;How to setup Travis-CI to consume dependencies from oss.sonatype.org;<maven><github><travis-ci>;nothing found
63413934;14.08.2020 13:41;0;Error in Travis: The job exceeded the maximum log length, and has been terminated;<java><spring-boot><maven><testing><travis-ci>;nothing found
58289171;08.10.2019 15:07;0;Travis CI - Maven build - Tests are skipped by default;<maven><travis-ci>;java version and maven commands
48170453;09.01.2018 14:34;0;Issue with Travis and pom.xml file;<java><xml><maven><travis-ci>;java version and maven commands
48448093;2018-01-25 16:50:49.033;0;Publishing JAR to Maven Central with Travis-CI;<maven><makefile><travis-ci><nexus>;nothing found
58490788;21.10.2019 16:47;0;Travis build with scope provided (java websockets);<java><maven><servlets><travis-ci>;nothing found
41433800;02.01.2017 22:01;0;travis-CI.org project cannot submit code coverage report to Coveralls.io;<maven><travis-ci><coveralls>;nothing found
30319241;19.05.2015 07:26;0;How to build a RPM package using Maven on Travis?;<java><maven><travis-ci>;nothing found
63416551;14.08.2020 16:24;0;The goal you specified requires a project to execute but there is no POM in this directory with travis build;<java><spring><spring-boot><maven><travis-ci>;nothing found
29715796;18.04.2015 10:05;0;How to minimize build server project specific configuration?;<maven><jenkins><build-process><travis-ci>;nothing found
51840873;14.08.2018 11:57;0;Travis build failing java;<java><maven><travis-ci>;java version and maven command in travis
60506070;03.03.2020 11:18;0;Java Spring boot and Travis CI;<java><spring-boot><maven><travis-ci>;java version and maven command in travis
41336185;26.12.2016 20:52;0;Travis max log size & omitting library generated log;<maven><log4j><travis-ci><logback><apache-metamodel>;nothing found
53048165;29.10.2018 14:56;0;Codacy does not show coverage using Travis-CI;<java><maven><travis-ci><codacy>;nothing found
31465808;16.07.2015 22:44;0;Travis CI: config not read;<java><maven><travis-ci>;nothing found
53821519;17.12.2018 19:02;0;How to point maven-verifier at right version of Maven?;<java><maven><travis-ci>;nothing found
35009641;26.01.2016 08:31;0;Clean lifecycle in Travis CI Maven build;<maven><travis-ci><maven-lifecycle><maven-clean-plugin>;nothing found
41208804;18.12.2016 13:30;0;Setting the path of Travis database for run the tests;<java><maven><heroku><spring-boot><travis-ci>;nothing found
